date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:43	218521/218521	---M--	200	added ('OK')	image/jpeg	etag:%2235599-561381a29e5d2%22	http://markup.themewagon.com/tryfreya/assets/images/header_1.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/header_1.jpg	(from http://markup.themewagon.com/tryfreya/)
22:25:51	63089/63089	---M--	200	added ('OK')	image/jpeg	etag:%22f671-5612595a330d2%22	http://markup.themewagon.com/tryfreya/assets/images/img_3.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_3.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:08	92408/92408	---M--	200	added ('OK')	image/jpeg	etag:%22168f8-5612595a330d2%22	http://markup.themewagon.com/tryfreya/assets/images/img_4.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_4.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:14	352651/352651	---M--	200	added ('OK')	image/jpeg	etag:%225618b-561381a29e5d2%22	http://markup.themewagon.com/tryfreya/assets/images/header_2.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/header_2.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:25	408395/408395	---M--	200	added ('OK')	image/jpeg	etag:%2263b4b-5612998d662f2%22	http://markup.themewagon.com/tryfreya/assets/images/header_3.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/header_3.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:25	79811/79811	---M--	200	added ('OK')	image/jpeg	etag:%22137c3-5612595a330d2%22	http://markup.themewagon.com/tryfreya/assets/images/img_5.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_5.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:33	103621/103621	---M--	200	added ('OK')	image/jpeg	etag:%22194c5-5612595a330d2%22	http://markup.themewagon.com/tryfreya/assets/images/img_6.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_6.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:40	316518/316518	---M--	200	added ('OK')	image/jpeg	etag:%224d466-5612998d60532%22	http://markup.themewagon.com/tryfreya/assets/images/banner_1.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/banner_1.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:46	99725/99725	---M--	200	added ('OK')	image/jpeg	etag:%221858d-5612998d67292%22	http://markup.themewagon.com/tryfreya/assets/images/img_7.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_7.jpg	(from http://markup.themewagon.com/tryfreya/)
22:26:49	70400/70400	---M--	200	added ('OK')	image/jpeg	etag:%2211300-5612595a34072%22	http://markup.themewagon.com/tryfreya/assets/images/img_8.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_8.jpg	(from http://markup.themewagon.com/tryfreya/)
22:27:08	101954/101954	---M--	200	added ('OK')	image/jpeg	etag:%2218e42-5612595a31192%22	http://markup.themewagon.com/tryfreya/assets/images/img_10.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_10.jpg	(from http://markup.themewagon.com/tryfreya/)
22:27:27	223290/223290	---M--	200	added ('OK')	image/jpeg	etag:%223683a-5612998d62472%22	http://markup.themewagon.com/tryfreya/assets/images/banner_3.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/banner_3.jpg	(from http://markup.themewagon.com/tryfreya/)
22:27:27	101880/101880	---M--	200	added ('OK')	image/jpeg	etag:%2218df8-5612595a31192%22	http://markup.themewagon.com/tryfreya/assets/images/img_11.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_11.jpg	(from http://markup.themewagon.com/tryfreya/)
22:27:27	259017/259017	---M--	200	added ('OK')	image/jpeg	etag:%223f3c9-5612595a34072%22	http://markup.themewagon.com/tryfreya/assets/images/img_9.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_9.jpg	(from http://markup.themewagon.com/tryfreya/)
22:27:50	114711/114711	---M--	200	added ('OK')	image/jpeg	etag:%221c017-5612595a31192%22	http://markup.themewagon.com/tryfreya/assets/images/img_12.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_12.jpg	(from http://markup.themewagon.com/tryfreya/)
22:27:51	132914/132914	---M--	200	added ('OK')	image/jpeg	etag:%2220732-5612595a31192%22	http://markup.themewagon.com/tryfreya/assets/images/img_13.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_13.jpg	(from http://markup.themewagon.com/tryfreya/)
